question_name,tag1,tag2,tag3
两数之和,数组,哈希表,None
两数相加,递归,链表,数学
无重复字符的最长子串,哈希表,字符串,滑动窗口
寻找两个正序数组的中位数,数组,二分查找,分治
最长回文子串,字符串,动态规划,None
Z 字形变换,字符串,None,None
整数反转,数学,None,None
字符串转换整数 (atoi),字符串,None,None
回文数,数学,None,None
正则表达式匹配,递归,字符串,动态规划
盛最多水的容器,贪心,数组,双指针
整数转罗马数字,哈希表,数学,字符串
罗马数字转整数,哈希表,数学,字符串
最长公共前缀,字典树,字符串,None
三数之和,数组,双指针,排序
最接近的三数之和,数组,双指针,排序
电话号码的字母组合,哈希表,字符串,回溯
四数之和,数组,双指针,排序
删除链表的倒数第 N 个结点,链表,双指针,None
有效的括号,栈,字符串,None
合并两个有序链表,递归,链表,None
括号生成,字符串,动态规划,回溯
合并 K 个升序链表,链表,分治,堆（优先队列）
两两交换链表中的节点,递归,链表,None
K 个一组翻转链表,递归,链表,None
删除有序数组中的重复项,数组,双指针,None
移除元素,数组,双指针,None
找出字符串中第一个匹配项的下标,双指针,字符串,字符串匹配
两数相除,位运算,数学,None
串联所有单词的子串,哈希表,字符串,滑动窗口
下一个排列,数组,双指针,None
最长有效括号,栈,字符串,动态规划
搜索旋转排序数组,数组,二分查找,None
在排序数组中查找元素的第一个和最后一个位置,数组,二分查找,None
搜索插入位置,数组,二分查找,None
有效的数独,数组,哈希表,矩阵
解数独,数组,哈希表,回溯
外观数列,字符串,None,None
组合总和,数组,回溯,None
组合总和 II,数组,回溯,None
缺失的第一个正数,数组,哈希表,None
接雨水,栈,数组,双指针
字符串相乘,数学,字符串,模拟
通配符匹配,贪心,递归,字符串
跳跃游戏 II,贪心,数组,动态规划
全排列,数组,回溯,None
全排列 II,数组,回溯,None
旋转图像,数组,数学,矩阵
字母异位词分组,数组,哈希表,字符串
"Pow(x, n)",递归,数学,None
N 皇后,数组,回溯,None
N 皇后 II,回溯,None,None
最大子数组和,数组,分治,动态规划
螺旋矩阵,数组,矩阵,模拟
跳跃游戏,贪心,数组,动态规划
合并区间,数组,排序,None
插入区间,数组,None,None
最后一个单词的长度,字符串,None,None
螺旋矩阵 II,数组,矩阵,模拟
排列序列,递归,数学,None
旋转链表,链表,双指针,None
不同路径,数学,动态规划,组合数学
不同路径 II,数组,动态规划,矩阵
最小路径和,数组,动态规划,矩阵
有效数字,字符串,None,None
加一,数组,数学,None
二进制求和,位运算,数学,字符串
文本左右对齐,数组,字符串,模拟
x 的平方根 ,数学,二分查找,None
爬楼梯,记忆化搜索,数学,动态规划
简化路径,栈,字符串,None
编辑距离,字符串,动态规划,None
矩阵置零,数组,哈希表,矩阵
搜索二维矩阵,数组,二分查找,矩阵
颜色分类,数组,双指针,排序
最小覆盖子串,哈希表,字符串,滑动窗口
组合,回溯,None,None
子集,位运算,数组,回溯
单词搜索,数组,字符串,回溯
删除有序数组中的重复项 II,数组,双指针,None
搜索旋转排序数组 II,数组,二分查找,None
删除排序链表中的重复元素 II,链表,双指针,None
删除排序链表中的重复元素,链表,None,None
柱状图中最大的矩形,栈,数组,单调栈
最大矩形,栈,数组,动态规划
分隔链表,链表,双指针,None
扰乱字符串,字符串,动态规划,None
合并两个有序数组,数组,双指针,排序
格雷编码,位运算,数学,回溯
子集 II,位运算,数组,回溯
解码方法,字符串,动态规划,None
反转链表 II,链表,None,None
复原 IP 地址,字符串,回溯,None
二叉树的中序遍历,栈,树,深度优先搜索
不同的二叉搜索树 II,树,二叉搜索树,动态规划
不同的二叉搜索树,树,二叉搜索树,数学
交错字符串,字符串,动态规划,None
验证二叉搜索树,树,深度优先搜索,二叉搜索树
恢复二叉搜索树,树,深度优先搜索,二叉搜索树
相同的树,树,深度优先搜索,广度优先搜索
对称二叉树,树,深度优先搜索,广度优先搜索
二叉树的层序遍历,树,广度优先搜索,二叉树
二叉树的锯齿形层序遍历,树,广度优先搜索,二叉树
二叉树的最大深度,树,深度优先搜索,广度优先搜索
从前序与中序遍历序列构造二叉树,树,数组,哈希表
从中序与后序遍历序列构造二叉树,树,数组,哈希表
二叉树的层序遍历 II,树,广度优先搜索,二叉树
将有序数组转换为二叉搜索树,树,二叉搜索树,数组
有序链表转换二叉搜索树,树,二叉搜索树,链表
平衡二叉树,树,深度优先搜索,二叉树
二叉树的最小深度,树,深度优先搜索,广度优先搜索
路径总和,树,深度优先搜索,广度优先搜索
路径总和 II,树,深度优先搜索,回溯
二叉树展开为链表,栈,树,深度优先搜索
不同的子序列,字符串,动态规划,None
填充每个节点的下一个右侧节点指针,树,深度优先搜索,广度优先搜索
填充每个节点的下一个右侧节点指针 II,树,深度优先搜索,广度优先搜索
杨辉三角,数组,动态规划,None
杨辉三角 II,数组,动态规划,None
三角形最小路径和,数组,动态规划,None
买卖股票的最佳时机,数组,动态规划,None
买卖股票的最佳时机 II,贪心,数组,动态规划
买卖股票的最佳时机 III,数组,动态规划,None
二叉树中的最大路径和,树,深度优先搜索,动态规划
验证回文串,双指针,字符串,None
单词接龙 II,广度优先搜索,哈希表,字符串
单词接龙,广度优先搜索,哈希表,字符串
最长连续序列,并查集,数组,哈希表
求根节点到叶节点数字之和,树,深度优先搜索,二叉树
被围绕的区域,深度优先搜索,广度优先搜索,并查集
分割回文串,字符串,动态规划,回溯
分割回文串 II,字符串,动态规划,None
克隆图,深度优先搜索,广度优先搜索,图
加油站,贪心,数组,None
分发糖果,贪心,数组,None
只出现一次的数字,位运算,数组,None
只出现一次的数字 II,位运算,数组,None
随机链表的复制,哈希表,链表,None
单词拆分,字典树,记忆化搜索,数组
单词拆分 II,字典树,记忆化搜索,数组
环形链表,哈希表,链表,双指针
环形链表 II,哈希表,链表,双指针
重排链表,栈,递归,链表
二叉树的前序遍历,栈,树,深度优先搜索
二叉树的后序遍历,栈,树,深度优先搜索
LRU 缓存,设计,哈希表,链表
对链表进行插入排序,链表,排序,None
排序链表,链表,双指针,分治
直线上最多的点数,几何,数组,哈希表
逆波兰表达式求值,栈,数组,数学
反转字符串中的单词,双指针,字符串,None
乘积最大子数组,数组,动态规划,None
寻找旋转排序数组中的最小值,数组,二分查找,None
寻找旋转排序数组中的最小值 II,数组,二分查找,None
最小栈,栈,设计,None
上下翻转二叉树,树,深度优先搜索,二叉树
用 Read4 读取 N 个字符,数组,交互,模拟
用 Read4 读取 N 个字符 II - 多次调用,数组,交互,模拟
至多包含两个不同字符的最长子串,哈希表,字符串,滑动窗口
相交链表,哈希表,链表,双指针
相隔为 1 的编辑距离,双指针,字符串,None
寻找峰值,数组,二分查找,None
缺失的区间,数组,None,None
最大间距,数组,桶排序,基数排序
比较版本号,双指针,字符串,None
分数到小数,哈希表,数学,字符串
两数之和 II - 输入有序数组,数组,双指针,二分查找
Excel表列名称,数学,字符串,None
多数元素,数组,哈希表,分治
两数之和 III - 数据结构设计,设计,数组,哈希表
Excel 表列序号,数学,字符串,None
阶乘后的零,数学,None,None
二叉搜索树迭代器,栈,树,设计
地下城游戏,数组,动态规划,矩阵
组合两个表,数据库,None,None
第二高的薪水,数据库,None,None
第N高的薪水,数据库,None,None
分数排名,数据库,None,None
最大数,贪心,数组,字符串
连续出现的数字,数据库,None,None
超过经理收入的员工,数据库,None,None
查找重复的电子邮箱,数据库,None,None
从不订购的客户,数据库,None,None
部门工资最高的员工,数据库,None,None
部门工资前三高的所有员工,数据库,None,None
反转字符串中的单词 II,双指针,字符串,None
重复的DNA序列,位运算,哈希表,字符串
买卖股票的最佳时机 IV,数组,动态规划,None
轮转数组,数组,数学,双指针
颠倒二进制位,位运算,分治,None
位1的个数,位运算,分治,None
删除重复的电子邮箱,数据库,None,None
上升的温度,数据库,None,None
打家劫舍,数组,动态规划,None
二叉树的右视图,树,深度优先搜索,广度优先搜索
岛屿数量,深度优先搜索,广度优先搜索,并查集
数字范围按位与,位运算,None,None
快乐数,哈希表,数学,双指针
移除链表元素,递归,链表,None
计数质数,数组,数学,枚举
同构字符串,哈希表,字符串,None
反转链表,递归,链表,None
课程表,深度优先搜索,广度优先搜索,图
实现 Trie (前缀树),设计,字典树,哈希表
长度最小的子数组,数组,二分查找,前缀和
课程表 II,深度优先搜索,广度优先搜索,图
添加与搜索单词 - 数据结构设计,深度优先搜索,设计,字典树
单词搜索 II,字典树,数组,字符串
打家劫舍 II,数组,动态规划,None
最短回文串,字符串,字符串匹配,哈希函数
数组中的第K个最大元素,数组,分治,快速选择
组合总和 III,数组,回溯,None
存在重复元素,数组,哈希表,排序
天际线问题,树状数组,线段树,数组
存在重复元素 II,数组,哈希表,滑动窗口
存在重复元素 III,数组,桶排序,有序集合
最大正方形,数组,动态规划,矩阵
完全二叉树的节点个数,位运算,树,二分查找
矩形面积,几何,数学,None
基本计算器,栈,递归,数学
用队列实现栈,栈,设计,队列
翻转二叉树,树,深度优先搜索,广度优先搜索
基本计算器 II,栈,数学,字符串
汇总区间,数组,None,None
多数元素 II,数组,哈希表,计数
二叉搜索树中第K小的元素,树,深度优先搜索,二叉搜索树
2 的幂,位运算,递归,数学
用栈实现队列,栈,设计,队列
数字 1 的个数,递归,数学,动态规划
回文链表,栈,递归,链表
二叉搜索树的最近公共祖先,树,深度优先搜索,二叉搜索树
二叉树的最近公共祖先,树,深度优先搜索,二叉树
删除链表中的节点,链表,None,None
除自身以外数组的乘积,数组,前缀和,None
滑动窗口最大值,队列,数组,滑动窗口
搜索二维矩阵 II,数组,二分查找,分治
为运算表达式设计优先级,递归,记忆化搜索,数学
有效的字母异位词,哈希表,字符串,排序
最短单词距离,数组,字符串,None
最短单词距离 II,设计,数组,哈希表
最短单词距离 III,数组,字符串,None
中心对称数,哈希表,双指针,字符串
中心对称数 II,递归,数组,字符串
中心对称数 III,递归,数组,字符串
移位字符串分组,数组,哈希表,字符串
统计同值子树,树,深度优先搜索,二叉树
展开二维向量,设计,数组,双指针
会议室,数组,排序,None
会议室 II,贪心,数组,双指针
因子的组合,回溯,None,None
验证二叉搜索树的前序遍历序列,栈,树,二叉搜索树
粉刷房子,数组,动态规划,None
二叉树的所有路径,树,深度优先搜索,字符串
各位相加,数学,数论,模拟
较小的三数之和,数组,双指针,二分查找
只出现一次的数字 III,位运算,数组,None
以图判树,深度优先搜索,广度优先搜索,并查集
行程和用户,数据库,None,None
丑数,数学,None,None
丑数 II,哈希表,数学,动态规划
粉刷房子 II,数组,动态规划,None
回文排列,位运算,哈希表,字符串
回文排列 II,哈希表,字符串,回溯
丢失的数字,位运算,数组,哈希表
火星词典,深度优先搜索,广度优先搜索,图
最接近的二叉搜索树值,树,深度优先搜索,二叉搜索树
字符串的编码与解码,设计,数组,字符串
最接近的二叉搜索树值 II,栈,树,深度优先搜索
整数转换英文表示,递归,数学,字符串
H 指数,数组,计数排序,排序
H 指数 II,数组,二分查找,None
栅栏涂色,动态规划,None,None
搜寻名人,图,双指针,交互
第一个错误的版本,二分查找,交互,None
完全平方数,广度优先搜索,数学,动态规划
摆动排序,贪心,数组,排序
锯齿迭代器,设计,队列,数组
给表达式添加运算符,数学,字符串,回溯
移动零,数组,双指针,None
窥视迭代器,设计,数组,迭代器
二叉搜索树中的中序后继,树,深度优先搜索,二叉搜索树
墙与门,广度优先搜索,数组,矩阵
寻找重复数,位运算,数组,双指针
单词的唯一缩写,设计,数组,哈希表
生命游戏,数组,矩阵,模拟
单词规律,哈希表,字符串,None
单词规律 II,哈希表,字符串,回溯
Nim 游戏,脑筋急转弯,数学,博弈
翻转游戏,字符串,None,None
翻转游戏 II,记忆化搜索,数学,动态规划
数据流的中位数,设计,双指针,数据流
最佳的碰头地点,数组,数学,矩阵
二叉树的序列化与反序列化,树,深度优先搜索,广度优先搜索
二叉树最长连续序列,树,深度优先搜索,二叉树
猜数字游戏,哈希表,字符串,计数
最长递增子序列,数组,二分查找,动态规划
删除无效的括号,广度优先搜索,字符串,回溯
包含全部黑色像素的最小矩形,深度优先搜索,广度优先搜索,数组
区域和检索 - 数组不可变,设计,数组,前缀和
二维区域和检索 - 矩阵不可变,设计,数组,矩阵
岛屿数量 II,并查集,数组,None
累加数,字符串,回溯,None
区域和检索 - 数组可修改,设计,树状数组,线段树
二维区域和检索 - 可变,设计,树状数组,线段树
买卖股票的最佳时机含冷冻期,数组,动态规划,None
最小高度树,深度优先搜索,广度优先搜索,图
稀疏矩阵的乘法,数组,哈希表,矩阵
戳气球,数组,动态规划,None
超级丑数,数组,数学,动态规划
二叉树的垂直遍历,树,深度优先搜索,广度优先搜索
计算右侧小于当前元素的个数,树状数组,线段树,数组
去除重复字母,栈,贪心,字符串
离建筑物最近的距离,广度优先搜索,数组,矩阵
最大单词长度乘积,位运算,数组,字符串
灯泡开关,脑筋急转弯,数学,None
列举单词的全部缩写,位运算,字符串,回溯
拼接最大数,栈,贪心,数组
零钱兑换,广度优先搜索,数组,动态规划
无向图中连通分量的数目,深度优先搜索,广度优先搜索,并查集
摆动排序 II,数组,分治,快速选择
和等于 k 的最长子数组长度,数组,哈希表,前缀和
3 的幂,递归,数学,None
区间和的个数,树状数组,线段树,数组
奇偶链表,链表,None,None
矩阵中的最长递增路径,深度优先搜索,广度优先搜索,图
按要求补齐数组,贪心,数组,None
验证二叉树的前序序列化,栈,树,字符串
重新安排行程,深度优先搜索,图,欧拉回路
最大二叉搜索子树,树,深度优先搜索,二叉搜索树
递增的三元子序列,贪心,数组,None
路径交叉,几何,数组,数学
回文对,字典树,数组,哈希表
打家劫舍 III,树,深度优先搜索,动态规划
比特位计数,位运算,动态规划,None
嵌套列表加权和,深度优先搜索,广度优先搜索,None
至多包含 K 个不同字符的最长子串,哈希表,字符串,滑动窗口
扁平化嵌套列表迭代器,栈,树,深度优先搜索
4的幂,位运算,递归,数学
整数拆分,数学,动态规划,None
反转字符串,双指针,字符串,None
反转字符串中的元音字母,双指针,字符串,None
数据流中的移动平均值,设计,队列,数组
前 K 个高频元素,数组,哈希表,分治
设计井字棋,设计,数组,哈希表
两个数组的交集,数组,哈希表,双指针
两个数组的交集 II,数组,哈希表,双指针
安卓系统手势解锁,位运算,动态规划,回溯
将数据流变为多个不相交区间,设计,二分查找,有序集合
贪吃蛇,设计,队列,数组
俄罗斯套娃信封问题,数组,二分查找,动态规划
设计推特,设计,哈希表,链表
直线镜像,数组,哈希表,数学
统计各位数字都不同的数字个数,数学,动态规划,回溯
K 距离间隔重排字符串,贪心,哈希表,字符串
日志速率限制器,设计,哈希表,数据流
有序转化数组,数组,数学,双指针
轰炸敌人,数组,动态规划,矩阵
敲击计数器,设计,队列,数组
矩形区域不超过 K 的最大数值和,数组,二分查找,矩阵
嵌套列表加权和 II,栈,深度优先搜索,广度优先搜索
水壶问题,深度优先搜索,广度优先搜索,数学
寻找二叉树的叶子节点,树,深度优先搜索,二叉树
有效的完全平方数,数学,二分查找,None
最大整除子集,数组,数学,动态规划
给单链表加一,链表,数学,None
区间加法,数组,前缀和,None
两整数之和,位运算,数学,None
超级次方,数学,分治,None
查找和最小的 K 对数字,数组,堆（优先队列）,None
猜数字大小,二分查找,交互,None
猜数字大小 II,数学,动态规划,博弈
摆动序列,贪心,数组,动态规划
